,unit_net_worth,cumulative_net_worth,daily_growth_rate,subscription_status,redemption_status,code,cur_date_d
1,1.1766,1.1766,1.87%,场内买入,场内卖出,159858,2021-04-30
2,1.1550,1.1550,-0.29%,场内买入,场内卖出,159858,2021-04-29
3,1.1584,1.1584,2.34%,场内买入,场内卖出,159858,2021-04-28
4,1.1319,1.1319,2.43%,场内买入,场内卖出,159858,2021-04-27
5,1.1051,1.1051,0.10%,场内买入,场内卖出,159858,2021-04-26
6,1.1040,1.1040,1.61%,场内买入,场内卖出,159858,2021-04-23
7,1.0865,1.0865,0.21%,场内买入,场内卖出,159858,2021-04-22
8,1.0842,1.0842,1.95%,场内买入,场内卖出,159858,2021-04-21
9,1.0635,1.0635,0.42%,场内买入,场内卖出,159858,2021-04-20
10,1.0590,1.0590,2.84%,场内买入,场内卖出,159858,2021-04-19
12,1.0298,1.0298,-0.40%,场内买入,场内卖出,159858,2021-04-16
13,1.0339,1.0339,-0.05%,场内买入,场内卖出,159858,2021-04-15
14,1.0344,1.0344,0.22%,场内买入,场内卖出,159858,2021-04-14
15,1.0321,1.0321,0.86%,场内买入,场内卖出,159858,2021-04-13
16,1.0233,1.0233,-2.40%,场内买入,场内卖出,159858,2021-04-12
17,1.0485,1.0485,-1.91%,场内买入,场内卖出,159858,2021-04-09
18,1.0689,1.0689,1.61%,场内买入,场内卖出,159858,2021-04-08
19,1.0520,1.0520,-0.10%,场内买入,场内卖出,159858,2021-04-07
20,1.0531,1.0531,-1.11%,场内买入,场内卖出,159858,2021-04-06
21,1.0649,1.0649,0.14%,场内买入,场内卖出,159858,2021-04-02
23,1.0634,1.0634,1.79%,场内买入,场内卖出,159858,2021-04-01
24,1.0447,1.0447,-1.03%,场内买入,场内卖出,159858,2021-03-31
25,1.0556,1.0556,1.79%,场内买入,场内卖出,159858,2021-03-30
26,1.0370,1.0370,0.12%,场内买入,场内卖出,159858,2021-03-29
27,1.0358,1.0358,3.30%,场内买入,场内卖出,159858,2021-03-26
28,1.0027,1.0027,0.63%,场内买入,场内卖出,159858,2021-03-25
29,0.9964,0.9964,,场内买入,场内卖出,159858,2021-03-24
30,1.0001,1.0001,0.00%,场内买入,场内卖出,159858,2021-03-19
31,1.0001,1.0001,,场内买入,场内卖出,159858,2021-03-18
32,1.0000,1.0000,,场内买入,场内卖出,159858,2021-03-12
